"Iran (Islamic Republic of)",Flag_of_Iran.png
Iraq,Flag_of_Iraq.png
Ireland,Flag_of_Ireland.png
Israel,Flag_of_Israel.png
Italy,Flag_of_Italy.png
Jamaica,Flag_of_Jamaica.png
Japan,Flag_of_Japan.png
Jordan,Flag_of_Jordan.png
Kazakhstan,Flag_of_Kazakhstan.png
Kenya,Flag_of_Kenya.png
Kiribati,Flag_of_Kiribati.png
Kuwait,Flag_of_Kuwait.png
Kyrgyzstan,Flag_of_Kyrgyzstan.png
"Lao People's Democratic Republic",Flag_of_Laos.png
Latvia,Flag_of_Latvia.png
Lebanon,Flag_of_Lebanon.png
Lesotho,Flag_of_Lesotho.png
Liberia,Flag_of_Liberia.png
"Libyan Arab Jamahiriya",Flag_of_Libya.png
Liechtenstein,Flag_of_Liechtenstein.png
Lithuania,Flag_of_Lithuania.png
Luxembourg,Flag_of_Luxembourg.png
Madagascar,Flag_of_Madagascar.png
Malawi,Flag_of_Malawi.png
Malaysia,Flag_of_Malaysia.png
Maldives,Flag_of_Maldives.png
Mali,Flag_of_Mali.png
Malta,Flag_of_Malta.png
"Marshall Islands",Flag_of_the_Marshall_Islands.png
Mauritania,Flag_of_Mauritania.png
Mauritius,Flag_of_Mauritius.png
Mexico,Flag_of_Mexico.png
"Micronesia (Federated States of)",Flag_of_Federated_States_of_Micronesia.png
Monaco,Flag_of_Monaco.png
Mongolia,Flag_of_Mongolia.png
Montenegro,Flag_of_Montenegro.png
Morocco,Flag_of_Morocco.png
Mozambique,Flag_of_Mozambique.png
Myanmar,Flag_of_Myanmar.png
Namibia,Flag_of_Namibia.png
Nauru,Flag_of_Nauru.png
Nepal,Flag_of_Nepal.png
Netherlands,Flag_of_the_Netherlands.png
"New Zealand",Flag_of_New_Zealand.png
Nicaragua,Flag_of_Nicaragua.png
Niger,Flag_of_Niger.png
Nigeria,Flag_of_Nigeria.png
Norway,Flag_of_Norway.png
Oman,Flag_of_Oman.png
Pakistan,Flag_of_Pakistan.png
Palau,Flag_of_Palau.png
Panama,Flag_of_Panama.png
"Papua New Guinea",Flag_of_Papua_New_Guinea.png
Paraguay,Flag_of_Paraguay.png
Peru,Flag_of_Peru.png
Philippines,Flag_of_the_Philippines.png
Poland,Flag_of_Poland.png
Portugal,Flag_of_Portugal.png
Qatar,Flag_of_Qatar.png
"Republic of Korea",Flag_of_South_Korea.png
"Republic of Moldova",Flag_of_Moldova.png
Romania,Flag_of_Romania.png
"Russian Federation",Flag_of_Russia.png
Rwanda,Flag_of_Rwanda.png
"Saint Kitts and Nevis",Flag_of_Saint_Kitts_and_Nevis.png
"Saint Lucia",Flag_of_Saint_Lucia.png
"Saint Vincent and the Grenadines",Flag_of_Saint_Vincent_and_the_Grenadines.png
Samoa,Flag_of_Samoa.png
"San Marino",Flag_of_San_Marino.png
"Sao Tome and Principe",Flag_of_Sao_Tome_and_Principe.png
"Saudi Arabia",Flag_of_Saudi_Arabia.png
Senegal,Flag_of_Senegal.png
Serbia,Flag_of_Serbia.png
Seychelles,Flag_of_the_Seychelles.png
"Sierra Leone",Flag_of_Sierra_Leone.png
Singapore,Flag_of_Singapore.png
Slovakia,Flag_of_Slovakia.png
Slovenia,Flag_of_Slovenia.png
"Solomon Islands",Flag_of_the_Solomon_Islands.png
Somalia,Flag_of_Somalia.png
"South Africa",Flag_of_South_Africa.png
Spain,Flag_of_Spain.png
"Sri Lanka",Flag_of_Sri_Lanka.png
Sudan,Flag_of_Sudan.png
Suriname,Flag_of_Suriname.png
Swaziland,Flag_of_Swaziland.png
Sweden,Flag_of_Sweden.png
Switzerland,Flag_of_Switzerland.png
"Syrian Arab Republic",Flag_of_Syria.png
Tajikistan,Flag_of_Tajikistan.png
Thailand,Flag_of_Thailand.png
"The former Yugoslav Republic of Macedonia",Flag_of_Macedonia.png
Timor-Leste,Flag_of_East_Timor.png
Togo,Flag_of_Togo.png
Tonga,Flag_of_Tonga.png
"Trinidad and Tobago",Flag_of_Trinidad_and_Tobago.png
Tunisia,Flag_of_Tunisia.png
Turkey,Flag_of_Turkey.png
Turkmenistan,Flag_of_Turkmenistan.png
Tuvalu,Flag_of_Tuvalu.png
Uganda,Flag_of_Uganda.png
Ukraine,Flag_of_Ukraine.png
"United Arab Emirates",Flag_of_the_United_Arab_Emirates.png
"United Kingdom of Great Britain and Northern Ireland",Flag_of_the_United_Kingdom.png
"United Republic of Tanzania",Flag_of_Tanzania.png
"United States of America",Flag_of_the_United_States.png
Uruguay,Flag_of_Uruguay.png
Uzbekistan,Flag_of_Uzbekistan.png
Vanuatu,Flag_of_Vanuatu.png
"Venezuela (Bolivarian Republic of)",Flag_of_Venezuela.png
"Viet Nam",Flag_of_Vietnam.png
Yemen,Flag_of_Yemen.png
Zambia,Flag_of_Zambia.png
Zimbabwe,Flag_of_Zimbabwe.png
